-0,7831439721048
-0,574593033957857
-0,666663313204637
-0,76192435526598
-0,729627963966051
-0,714871798863126
-0,760396067797405
4,84569286573469
-0,712868459392889
-0,716094495371215
-0,763516052946106
3,34993349851883
-0,591527085454832
0,252263309416497
-0,678558293022619
-0,731970367984324
2,11347499355361
-0,734526273359265
-0,659550094396157
2,87143354683185
-0,735483402861898
-0,735371878893738
-0,713210312604506
-0,743868814095371
2,752759418637
-0,782449760072149
-0,709381012574468
-0,673154001336365
-0,625245617043362
-0,663524523158482
3,22386582992946
